source_way,target_way
138207179,138207177
138207179,857614018
138207180,30037869
138207180,138207175
138207180,138207177
138207175,857614018
138207174,857614018
857614018,138207178
857614018,590430068
857614018,142796073
857614018,884156904
857614018,503673631
590430068,142796073
590430068,503673631
590430068,590430067
145437580,137291018
145437580,137291012
145437580,30036970
145437580,145622801
145437580,145622797
137291018,30038564
137291018,30041152
137291018,30041172
137291018,137291012
137291018,30036970
137291018,137291016
137291018,145622800
137291018,145622797
137291012,30036970
137291012,137291011
137291012,484866803
137291012,30041172
137291016,145622800
137291016,145622797
137291016,137291011
137291016,137291017
137291016,145483088
145622800,145622797
580680549,137291013
137291013,145622794
145517851,30050551
145517851,119417447
145517851,30036971
30036971,30036974
30038571,145517840
30038571,30038569
30038571,30038572
30036974,145517840
30036974,30038569
30038569,30921721
145619308,30038558
145619308,145619309
30923094,30038037
30923094,30041001
30923094,30038572
119419490,30038830
119419490,30038572
119419490,145631957
30038572,30921721
30037028,145661431
30037028,145788219
30037028,139076826
30037028,137084231
30037028,884156904
30037028,624693987
145661431,145661432
145661431,30050181
145661431,138292406
145661431,503673486
145661431,624693987
145661428,145661432
145661428,145661426
145661428,624693987
145661432,30050181
145661432,138292406
145661432,503673486
145661432,624693987
138207176,145788219
138207176,138292406
145788219,145583671
139076826,884156904
30037314,145739590
38237481,30037761
38237481,34320312
30037761,884268459
145569873,145463691
50434294,75739285
50434294,145463690
75739285,145463690
75739285,857896812
857896812,851764810
857896812,30037439
857896812,851764808
851764810,851764809
851764810,786570928
851764810,30038792
851764810,30037439
851764810,30037474
851764810,137082333
30037439,30037552
30037439,851764811
30037552,137082333
851764811,851764812
884268461,145760198
884268461,30037474
884268461,884810746
145760198,30037474
145760198,145760231
30037474,75720788
30037474,851764809
75720788,75720765
75720788,75720784
75720765,145663347
851764809,50434293
851764809,408576538
851764809,408576539
892484565,485101720
892484565,30037488
485101720,145691165
485101720,438912914
485101720,30037488
884186806,145691165
884186806,30037520
145691155,30047409
145691155,30037520
145691155,145575006
30037520,882869162
30037520,321808981
30037520,145603820
882869162,884177613
321808981,486491742
321808981,321808977
145603820,859508341
145603820,145575006
145603820,145625099
145603820,145603823
30038777,145428881
30038777,484866658
30038777,145428884
30038777,145428880
30038777,145428879
30038777,145428887
30038777,145428885
30038777,30037576
30038777,145428888
30037576,30038818
30037576,145428889
30037576,145428882
30037576,516273483
30037576,516273482
30038818,145428884
30038818,145428880
30038818,145428885
30038818,145428881
30038818,484866658
30038818,744526319
30038818,145428879
30038818,145428887
145428881,145393144
145428881,145393887
145428881,516273480
145428881,677243205
145428881,516273481
145428889,145428883
145428882,145428883
516273483,516273482
516273482,516273481
30037593,30040634
30037593,145663577
30040634,145600280
30040634,145433467
30040634,145433425
30040634,145663577
30040634,145433427
30040634,145433474
30040634,145433485
30040634,145433424
30040634,145433442
30040634,145433439
30040634,145433441
145716554,30037624
30037624,145463690
145463690,30921480
30037701,30047409
30037701,655552512
30037701,145590154
30037701,655552513
30047409,677252705
655552512,655552513
145674428,145502030
30037826,75720761
30037826,31055833
30037826,147298493
75720761,142796066
75720761,145587414
31055833,677210791
590430065,30037869
590430065,590430059
590430065,486492325
30037869,145311724
30037869,145311716
30037869,624693982
30037869,145437077
30037869,137084231
30037869,145391426
145311716,146016753
624693982,884156904
624693982,138207177
624693982,740088670
624693982,884177612
624693982,884177611
145437077,138207177
137084231,138207177
744526325,744526324
744526325,626119467
744526325,30037880
744526325,530442454
744526324,626119467
744526324,30037880
744526324,370134392
626119467,30037880
626119467,624686568
30037880,370134391
370134392,744526322
30038564,145619306
30038564,145622794
30038564,30041066
30041152,145622794
30041152,30041066
30041152,145483085
30038037,145408564
30038037,30050722
30038037,30041064
30038037,30039945
30038037,30039942
30038037,145486150
30038037,30039686
30038037,30039861
30038037,30041001
30038037,30041039
30038037,30050721
145408564,145596159
30050722,30040065
30050722,145596159
30041064,30039685
30041064,30040065
30041064,145596826
30041064,145596159
30039945,30039685
30039945,145596159
30039942,30039685
30039942,145596159
145486150,145596159
30039686,30040849
30039686,30039845
30039686,30039685
30039686,30040065
30039861,30038585
30039861,145412903
30039861,30039685
30039861,30040065
30039861,30039845
30041001,30038592
30041001,30038764
30041001,30039685
30041001,30040065
30041001,30039845
30038558,145691565
30038558,30041066
145597376,30041066
30921721,145631957
30038585,145392624
30038585,30039710
30038585,30040976
30038585,30040966
30038585,30040511
30038585,30039726
30038585,145623747
30038585,30040530
30038585,145412830
30038585,428697091
30038585,30040066
30038585,30040848
30038585,30040119
30038585,30040932
145392624,30039761
145392624,30050970
145392624,145392665
30040976,30039760
30040976,30039761
30040976,30039728
30040966,30039760
30040966,30039728
30040966,30039761
30040511,30039760
30040511,30039761
30040511,30039728
30040511,30040468
30040511,30040849
30039726,30039760
30039726,30039761
30039726,30039728
30039726,30040849
145623747,30039760
145623747,30039761
30040530,30039761
145412830,145412903
428697091,30038592
30038592,30038764
30038592,700201289
30038592,700201288
30038592,30038627
30038764,30038643
30038764,145412899
30038764,145412823
30038764,145412835
30038764,145412840
30038764,145412900
30038764,30039843
700201289,700201288
700201289,30038627
700201289,744526320
700201288,30038627
700201288,30040249
30038627,30038643
30038627,516271681
30038627,145412827
30038627,145412899
30038627,145412823
30038627,145412835
30038627,145412840
30038627,145412900
30038627,30039843
30039760,145411415
30039760,30050970
30039760,30040066
30039760,30040848
30039760,145583935
30039760,30040533
30039760,145392633
30039760,30040932
30038643,30038638
30039761,30040848
30039761,30040066
30039761,30050970
30039761,30040533
30039761,30040119
30039761,145392633
30039761,145392665
30039761,30040932
30039843,30040120
516271681,145412815
516271681,145426002
145412823,30038638
145412835,30038638
145412840,30038638
145412900,145412897
145412900,145737727
30038638,145425997
30038638,30040359
30038638,145425998
484866658,744526319
744526319,516271686
145428884,145393144
145428884,145393887
145428880,145393144
145428880,145393887
145428879,145393887
145428887,145393144
145428887,145393887
145428887,516273479
145428887,677243206
145428887,516273480
145428888,145393144
786570928,30038792
786570928,146001147
30039685,30041039
30039685,30050721
30041039,30040065
30041039,145596159
30040066,30039728
30040120,30040533
30040120,145412903
30040120,30040848
30040120,30040119
30040120,30040932
30039728,30040848
30039728,30040932
30040468,30040389
30040468,145433485
145411415,30040389
145411415,145433467
145411415,30050970
30050970,336018397
30050970,145392665
336018397,145392627
336018397,336018398
30040533,145412903
145392665,145392627
145392627,336018398
30040249,744526320
30040249,145737727
744526320,145737733
145596159,30050721
516273481,516273480
516273481,677243205
145600280,145411405
145600280,30040389
145600280,145433423
145411405,336018398
145411405,30040389
30040389,145433471
30040389,145433472
30040389,145433473
30040389,145433468
30040389,145433467
30040389,145433425
30040389,145433420
30040389,145433427
30040389,145433485
30040389,145433424
145433454,145433420
145433454,145433425
145433454,145433427
145433454,145433485
145433454,145433424
145433454,145433459
145433454,145433462
145433454,145433461
145433454,145433460
145433454,145433463
145433454,145433457
145433467,145433423
145433467,145433466
145433467,30040599
145663577,456687497
145663577,30040599
145663577,145433449
145663577,30040663
145663577,145433443
145433423,145433477
145433423,145433479
145433423,145433481
145433423,145433427
145433423,145433474
145433423,145433453
145433423,145433424
30040599,145433477
30040599,145433479
30040599,145433481
30040599,145433427
30040599,145433474
30040599,145433476
30040599,145433453
30040599,145433446
145433427,145433484
145433453,145433448
145433448,145433446
145433485,145433484
145433424,881672576
30040663,145433450
145433443,145433450
145433450,145433445
145660137,30041066
30041066,30041154
30050551,145566145
145483085,145483088
30041172,484866803
145603825,145589362
145603825,30047239
145603825,884156914
30047239,884156914
30047239,145430180
30047239,365220173
30047239,145661426
884156914,145603817
145603813,145603823
145430180,837149876
145430180,365220173
365220173,145661426
365220173,365220174
365220173,145661429
145661617,85379282
145661617,138292407
677252705,884810748
677252705,369030721
677252705,884810747
677252705,145590154
520467045,85379282
520467045,30048750
85379282,30048750
30048750,520467046
30048750,624687820
520467046,624687820
85383027,85382991
85383027,142796073
85383027,145583671
146268927,503673486
30050474,145622798
30050474,30050475
30050474,30050181
30050181,145663369
30050181,145664648
30050181,145664644
145663369,624693987
145663369,520458163
145664648,503673486
30050209,503673486
503673486,145404814
145622798,145659016
145622798,145641268
145622798,581427372
145622798,145620742
119417447,145566145
30921480,145453789
31055503,442013004
442013004,445644497
445644498,31055504
31055504,486491745
486491745,486491744
486491744,486491743
486690321,365024782
486690321,486690426
365024782,364904597
364904597,782610298
677210791,145587420
677210791,138205647
145587420,138205647
145587420,782610298
138205647,677210787
85382137,145517074
85382137,85382267
85382137,503673631
85382137,31055857
85382137,521958943
85382137,85381959
85382137,145517077
85382137,145464567
31055857,31055858
31055858,85381912
31055858,521958943
31055858,85381959
31055858,145455184
31055858,145434894
31055858,85382323
31055858,85381690
31055858,503673631
521958943,145462806
521958943,590430067
85382323,85381690
34320312,38237482
38237532,592013817
38237532,482977108
592013817,592013818
482977108,542526570
884810748,368850806
884810748,50434293
884810748,520451324
884810748,369030721
884810748,884810747
368850806,50434293
368850806,520451324
368850806,75739290
50434293,520451324
520451324,145590154
369030721,884810747
369030721,859505884
145437541,145437534
145437541,145437527
145437527,145437543
145437527,145437528
145437527,145437540
145437527,145437535
145437527,145437534
145437527,145437539
145437545,145437531
145437545,145437544
145437545,145437542
145663333,145663347
145663347,75720784
145663347,75720787
884810746,75720787
142796066,145587414
75720776,145796136
75739284,75739290
857614017,157310425
857614017,503673631
85382991,85383008
85382991,85383022
85382991,145577569
85382991,145624964
85382991,145577570
85382991,85383030
85382991,503673631
85383008,85383021
85383022,85383021
145624964,85383030
145624964,85383034
85383030,85383033
85383030,85383034
85383030,142796073
85383030,85383032
85383030,85383031
142796073,503673631
142796073,145577591
145463645,85383050
85383050,85383052
85383057,85383053
85383057,85383061
85383067,85383053
85383053,85383061
486691218,276958756
486691218,486690426
486691218,624696004
276958756,367400166
442013129,442013128
486491742,486491743
486491742,321808977
486491742,486491247
486491247,486491150
590430066,486492325
145437079,138207177
145483088,484866803
137291017,484866803
882716491,543213912
543213912,882716489
543213921,543213916
543213921,882716482
420445782,420445784
420445782,420445783
420445782,420445785
420445782,420445786
420445782,420445787
420445782,420445788
420445782,420454166
420445782,420454167
420445782,420454168
420445782,420454170
420445782,420454171
420445782,420454172
420445782,420454173
420445782,420454174
420445782,420454175
420445782,420454176
420445782,420454178
420445782,420454179
420445782,420454180
420445782,673393764
420445782,882716511
420445782,420454177
420445782,882716510
420445782,882716509
420445782,673393765
145783661,145783660
420445781,145783660
420445780,145783660
145783660,420445774
145783660,420445770
145783660,420445769
145783660,146390547
145783660,420445771
145783660,420445772
145783660,420445775
145783660,420445779
