,Unnamed: 0,Город,Федеральный округ,Население,Широта,Долгота,Часовой пояс
240,240,Туймазы,Приволжский,66849.0,54.5999889,53.6949081,UTC+5
241,241,Кстово,Приволжский,66641.0,56.1433353,44.1665081,UTC+3
242,242,Вольск,Приволжский,66520.0,52.0459932,47.3873504,UTC+4
243,243,Ишимбай,Приволжский,66259.0,53.4546314,56.043874,UTC+5
244,244,Зеленогорск,Сибирский,66018.0,56.1133001,94.5888736,UTC+7
245,245,Сосновый Бор,Северо-Западный,65901.0,59.8772921,29.1290866,UTC+3
246,246,Буйнакск,Северо-Кавказский,65735.0,42.8213799,47.1164452,UTC+3
247,247,Борисоглебск,Центральный,65585.0,51.3654619,42.100947,UTC+3
248,248,Наро-Фоминск,Центральный,64640.0,55.3802749,36.7608038,UTC+3
250,250,Донской,Центральный,64561.0,53.9679582,38.3372104,UTC+3
251,251,Полевской,Уральский,64316.0,56.4958085,60.2366314,UTC+5
252,252,Лениногорск,Приволжский,64145.0,54.5966917,52.4432118,UTC+3
253,253,Павловский Посад,Центральный,63771.0,55.7806718,38.6596047,UTC+3
255,255,Заречный,Приволжский,63579.0,53.1961009,45.1691502,UTC+3
257,257,Россошь,Центральный,62865.0,50.170089,39.6225534,UTC+3
258,258,Горно-Алтайск,Сибирский,62861.0,51.9582681,85.9602957,UTC+7
259,259,Кумертау,Приволжский,62854.0,52.7565537,55.7969915,UTC+5
260,260,Лабинск,Южный,62822.0,44.6353153,40.724385,UTC+3
261,261,Сибай,Приволжский,62732.0,52.7205811,58.6663303,UTC+5
262,262,Клинцы,Центральный,62510.0,52.7529052,32.2339161,UTC+3
263,263,Ржев,Центральный,62026.0,56.2629393,34.3291178,UTC+3
264,264,Тихорецк,Южный,61825.0,45.8546953,40.1258702,UTC+3
265,265,Нерюнгри,Дальневосточный,61746.0,56.6600322,124.72031,UTC+9
266,266,Алексин,Центральный,61738.0,54.5083788,37.047891,UTC+3
267,267,Ревда,Уральский,61713.0,56.79869,59.9071464,UTC+5
268,268,Александров,Центральный,61544.0,56.3919652,38.711035,UTC+3
269,269,Дмитров,Центральный,61454.0,56.3477176,37.5267184,UTC+3
270,270,Мелеуз,Приволжский,61408.0,52.9590637,55.9283483,UTC+5
271,271,Сальск,Южный,61312.0,46.4751689,41.5412229,UTC+3
272,272,Лесосибирск,Сибирский,61146.0,58.2218201,92.5036986,UTC+7
273,273,Гусь-Хрустальный,Центральный,60773.0,55.6198065,40.6578769,UTC+3
274,274,Чистополь,Приволжский,60703.0,55.3699372,50.628495,UTC+3
275,275,Павлово,Приволжский,60699.0,55.9797995,43.0996232,UTC+3
276,276,Чехов,Центральный,60677.0,55.1507175,37.4532591,UTC+3
277,277,Котлас,Северо-Западный,60562.0,61.2529842,46.6331915,UTC+3
278,278,Белебей,Приволжский,60183.0,54.1033832,54.1111878,UTC+5
279,279,Искитим,Сибирский,60072.0,54.6266869,83.2951444,UTC+7
280,280,Краснотурьинск,Уральский,59701.0,59.7636934,60.1934451,UTC+5
283,283,Прохладный,Северо-Кавказский,59595.0,43.7589521,44.0101936,UTC+3
284,284,Михайловка,Южный,59153.0,50.0708749,43.2400847,UTC+3
285,285,Анапа,Южный,58983.0,44.8950777,37.3163142,UTC+3
286,286,Тихвин,Северо-Западный,58843.0,59.6273809,33.5072307,UTC+3
287,287,Верхняя Пышма,Уральский,58707.0,56.9757833,60.564885,UTC+5
289,289,Свободный,Дальневосточный,58594.0,51.361264,128.1218995,UTC+9
290,290,Шуя,Центральный,58528.0,56.8560743,41.3802455,UTC+3
291,291,Когалым,Уральский,58192.0,62.2638914,74.4828687,UTC+5
292,292,Щекино,Центральный,58154.0,54.0020749,37.517686,UTC+3
294,294,Крымск,Южный,57370.0,44.9344108,37.9855314,UTC+3
297,297,Арсеньев,Дальневосточный,56742.0,44.16208,133.269622,UTC+10
298,298,Избербаш,Северо-Кавказский,56301.0,42.565098,47.871002,UTC+3
299,299,Выкса,Приволжский,56196.0,55.3207103,42.1679169,UTC+3
300,300,Лиски,Центральный,55864.0,50.9944734,39.518302,UTC+3
301,301,Волжск,Приволжский,55671.0,55.8622987,48.371553,UTC+3
302,302,Краснокаменск,Сибирский,55668.0,50.092858,118.0323407,UTC+9
303,303,Фрязино,Центральный,55449.0,55.9590154,38.0409171,UTC+3
304,304,Узловая,Центральный,55282.0,53.9731407,38.1763104,UTC+3
305,305,Лыткарино,Центральный,55147.0,55.5778065,37.9034952,UTC+3
306,306,Нягань,Уральский,54903.0,62.1454839,65.3944361,UTC+5
